,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
272,What is a base adapter in android?,Easy,1,Evaluation-Android,"a) Base Adapter is a common class for any adapter, which can we use for both ListView and spinner","Base Adapter is a common class for any adapter, which can we use for both ListView and spinner",b) A kind of adapter,c) Data storage space,d) None of the above.
273,Android doesn't support which format.,Easy,1,Evaluation-Android,c) AVI,a) MP4,b) MPEG,c) AVI,d)MIDI
274,Web browser available in android is based on,Easy,1,Evaluation-Android,c) Open-source Webkit,a) Chrome,b) Firefox,c) Open-source Webkit,d) Opera
275,Is list data type supported by AIDL?,Easy,1,Evaluation-Android,a) Yes,a) Yes,b) No,,
276,"Which of the following is true about object arrayAdapter declared in the code below?

String[] items = {""Item 1"",""Item 2"",""Item 3"");

ArrayAdapter<String> arrayAdapter = new ArrayAdapter<String>(this, android.R.layout.simple_list_item_1, items);

listView.setAdapter(arrayAdapter);",Expert,1,Evaluation-Android,d) It creates a TextView for each String in array items.,a) It creates four views for listView.,b) It creates Buttons for each String in array items.,c) It replaces the layout of the activity with three consecutive TextView items.,d) It creates a TextView for each String in array items.
277,Which of the following is NOT a correct constructer for ArrayAdapter?,Hard,1,Evaluation-Android,"c)ArrayAdapter (Context context, int resource, int textViewResourceld)","a) ArrayAdapter (Context context, int resourse)","b) ArrayAdapter (Context context, int resource, List<T> items)","c) ArrayAdapter (Context context, int resource, int textViewResourceld)",d) ArrayAdapter (Context context)
278,Which of the following add a click listener to items in a listView?,Hard,1,Evaluation-Android,b) onItemClickListener,a) onItemClicked,b) onItemClickListener,c) onListItemClickListener,d) onClickListener
279,Which of the following is NOT a correct constructer for ArrayAdapter?,Hard,1,Evaluation-Android,"c) ArrayAdapter (Context context, int resource, int textViewResourceld)","a) ArrayAdapter (Context context, int resourse)","b) ArrayAdapter (Context context, int resource, List<T> items)","c) ArrayAdapter (Context context, int resource, int textViewResourceld)",d) ArrayAdapter (Context context)
280,"To create a customized Adapter for a compound list item layout, you should:",Hard,1,Evaluation-Android,c) Extend class android.widget.Adapter or any of its descendants then override method getView(),"a) Extend class android.widget.ListView or any of its descendants, then override method a) a) getView()","b) Extend class android.widget.AbsAdapter or any of its descendants, then override method getView()",c) Extend class android.widget.Adapter or any of its descendants then override method getView(),"d) Extend class android.widget.Adapter or any of its descendants, then override method getAdapterView()"
281,Which of the following makes a ListView Clickable?,Medium,1,Evaluation-Android,a) setEnabled(true),a) setEnabled(true),b) SetItemsEnabled(true),c) setClickable(true),d) setVisibility(View.Visible)
282,in which Activity life-cycle method you should do all of your normal static set up such as: creating views and bind data to lists?,Medium,1,Evaluation-Android,d) onCreate(),a) onStart(),b) onPause(),c) onResume(),d) onCreate()
283,Which of the following browser android support?,Easy,1,Evaluation-Android,a) A and D,a) Dolphin Browser,b) Chrome,c) Opera,d) Ecosia browser
284,RecyclerView does not contain setOnItemClickListener as ListView by default,Hard,1,Evaluation-Android,a) True,a) True,b) False,,
285,What is ListView?,Medium,1,Evaluation-Android,b) ListView is a view group that displays a list of scrollable items. ,a) ListView is a view group that remove a list of scrollable items. ,b) ListView is a view group that displays a list of scrollable items. ,c)  ListView is a view group that displays a list of scrollable items. ,d)  ListView is a view group that insert a list of scrollable items. 
286,The list items are automatically inserted to the list using an,Medium,1,Evaluation-Android,c) Adapter,a) Array,b) Object,c) Adapter,d) None of them
287,How to initialize a adapter (ArrayAdapter),Expert,1,Evaluation-Android,"a) ArrayAdapter<String> itemsAdapter = 
    new ArrayAdapter<String>(this, android.R.layout.simple_list_item_1, items);","a) ArrayAdapter<String> itemsAdapter = 
    new ArrayAdapter<String>(this, android.R.layout.simple_list_item_1, items);","b)  ArrayAdapter<String> itemsAdapter = 
    old  ArrayAdapter<String>(this, android.R.layout.simple_list_item_1, items);","c)  itemsAdapter = 
    new ArrayAdapter<String>(this, android.R.layout.simple_list_item_1, items);","d) ArrayAdapter<String> itemsAdapter = <String>(this, android.R.layout.simple_list_item_1, items);"
288,How to connect a adapter ((ArrayAdapter)) to a ListView,Expert,1,Evaluation-Android,"b) ListView listView = (ListView) findViewById(R.id.lvItems);
listView.setAdapter(itemsAdapter);","a) ListView listView = (ListView) findViewById;
listView.setAdapter(itemsAdapter);","ListView listView = (ListView) findViewById(R.id.lvItems);
listView.setAdapter(itemsAdapter);","ListView listView = (ListView) findViewById(R.id.lvItems);
","d) ListView listView = (ListView) findViewById(R.id.lvItems);
setAdapter(itemsAdapter);"
289,How to create a static array of strings in Android ,Expert,1,Evaluation-Android,"a) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array name=""my_books"">
        <item>Scala Cookbook</item>
        <item>Play Framework Recipes</item>
        <item>How I Sold My Business: A Personal Diary</item>
        <item>A Survival Guide for New Consultants</item>
    </string-array>
</resources>

Resources res = getResources();
String[] myBooks = res.getStringArray(R.array.my_books);","a) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array name=""my_books"">
        <item>Scala Cookbook</item>
        <item>Play Framework Recipes</item>
        <item>How I Sold My Business: A Personal Diary</item>
        <item>A Survival Guide for New Consultants</item>
    </string-array>
</resources>

Resources res = getResources();
String[] myBooks = res.getStringArray(R.array.my_books);","b) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array name=""my_books"">
        <item>Scala Cookbook</item>
        <item>Play Framework Recipes</item>
        <item>How I Sold My Business: A Personal Diary</item>
        <item>A Survival Guide for New Consultants</item>
    </string-array>
</resources>

Resources res = getResources();
String[] myBooks = getStringArray(R.array.my_books);","c) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array name=""my_books"">
        <item>Scala Cookbook</item>
        <item>Play Framework Recipes</item>
        <item>How I Sold My Business: A Personal Diary</item>
        <item>A Survival Guide for New Consultants</item>
    </string-array>
</resources>

Resources res = getResources();
String myBooks = res.getStringArray(R.array.my_books);",d) All of them
290,How to print an array in Android Log output,Expert,1,Evaluation-Android,"a) Log.i(""MyAndroidClass"", Arrays.toString(arr));","a) Log.i(""MyAndroidClass"", Arrays.toString(arr));","b)  Log(""MyAndroidClass"", Arrays.toString(arr));","c) print(""MyAndroidClass"", Arrays.toString(arr));",d) None of them
291,How to Define a String Array Resources Using String Resource References,Expert,1,Evaluation-Android,"b) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array
        name=""races_array"">
        <item>@string/race_goblin</item>
        <item>@string/race_orc</item>
        <item>@string/race_elf</item>
        <item>@string/race_human</item>
        <item>@string/race_troll</item>
        <item>@string/race_halfling</item>
    </string-array>
</resources>","a) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array
        name=""races_array"">
        <item1>@string/race_goblin</item>
        <item2>@string/race_orc</item>
        <item3>@string/race_elf</item>
        <item4>@string/race_human</item>
        <item5>@string/race_troll</item>
        <item6>@string/race_halfling</item>
    </string-array>
</resources>","b) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array
        name=""races_array"">
        <item>@string/race_goblin</item>
        <item>@string/race_orc</item>
        <item>@string/race_elf</item>
        <item>@string/race_human</item>
        <item>@string/race_troll</item>
        <item>@string/race_halfling</item>
    </string-array>
</resources>","c) <?xml version=""1.0"" encoding=""utf-8""?>
<resources100>
    <string-array
        name=""races_array"">
        <item>@string/race_goblin</item>
        <item>@string/race_orc</item>
        <item>@string/race_elf</item>
        <item>@string/race_human</item>
        <item>@string/race_troll</item>
        <item>@string/race_halfling</item>
    </string-array>
</resources>","d) <?xml version=""1.0"" encoding=""utf-8""?>
<resources>
    <string-array
        name=""races_array"">
        <item>@string/race_goblin
        <item>@string/race_orc
        <item>@string/race_elf
        <item>@string/race_human
        <item>@string/race_troll
        <item>@string/race_halfling
    </string-array>
</resources>"
292,How to Load a String Array Resources Programmatically,Expert,1,Evaluation-Android,d) String[] cRaces = getResources().getStringArray(R.array.races_array);,d) String cRaces = getResources().getStringArray(R.array.races_array);,b)  String[] cRaces = getResources();,c)  String[] cRaces =getStringArray(R.array.races_array);,d) String[] cRaces = getResources().getStringArray(R.array.races_array);
293,How to Reference an Array Resources in Simple Spinner Controls,Expert,1,Evaluation-Android,"c) <Spinner
     android:layout_height=""wrap_content""
     android:layout_width=""match_parent""
     android:id=""@+id/spinnerOfCharacterRaces""
     android:entries=""@array/races_array"">
</Spinner>","c) <Spinner>
     android:layout_height=""wrap_content""
     android:layout_width=""match_parent""
     android:id=""@+id/spinnerOfCharacterRaces""
     android:entries=""@array/races_array"">
</Spinner>","b) <Spinner>
     android:layout_height=""wrap_content""
     android:layout_width=""match_parent""
     android:id=""@+id/spinnerOfCharacterRaces""
     android:entries=""@array/races_array"">
<Spinner>","c) <Spinner
     android:layout_height=""wrap_content""
     android:layout_width=""match_parent""
     android:id=""@+id/spinnerOfCharacterRaces""
     android:entries=""@array/races_array"">
</Spinner>",All of them
294,How to Define a ListView in xml file,Expert,1,Evaluation-Android,"a) <ListView
        android:id=""@+id/list""
        android:layout_height=""wrap_content""
        android:layout_width=""match_parent"">
    </ListView>","a) <ListView
        android:id=""@+id/list""
        android:layout_height=""wrap_content""
        android:layout_width=""match_parent"">
    </ListView>","b)  <ListView>
        android:id=""@+id/list""
        android:layout_height=""wrap_content""
        android:layout_width=""match_parent"">
    </ListView>","c) <ListView
        android:id=""id/list""
        android:layout_height=""wrap_content""
        android:layout_width=""match_parent"">
    </ListView>",None of them
295,What is the class name of List in android  ,Hard,1,Evaluation-Android,d)  import java.util.List;,a)  import java.util.io;,b)  import util.List;,c)  import java.util.Lang;,d)  import java.util.List;
296,Which of the following is valid to store  a string (R.string) in a list,Hard,1,Evaluation-Android,"b)  List<String> list = new ArrayList<String>();
  list.add(getResources().getString(R.string.helloworld));","a)  List<String> list = new ArrayList<String>();
  list.add(getResources().getString(R));","b)  List<String> list = new ArrayList<String>();
  list.add(getResources().getString(R.string.helloworld));",c) None of them,d) All of them
297,How to initialize a new ArrayAdapter using a constructor to specify the layout for each string,Hard,1,Evaluation-Android,"c) ArrayAdapter adapter = new ArrayAdapter<String>(this,R.layout.ListView,StringArray);","c) ArrayAdapter adapter =  ArrayAdapter<String>(this,R.layout.ListView,StringArray);","b)  ArrayAdapter adapter = new ArrayAdapter<String>(R.layout.ListView,StringArray);","c) ArrayAdapter adapter = new ArrayAdapter<String>(this,R.layout.ListView,StringArray);","d)   adapter = new ArrayAdapter<String>(this,R.layout.ListView,StringArray);"
298,How to call setAdapter() on your ListView object after creating an array adapter,Expert,1,Evaluation-Android,"a) ListView listView = (ListView) findViewById(R.id.listview);
listView.setAdapter(adapter);","a) ListView listView = (ListView) findViewById(R.id.listview);
listView.setAdapter(adapter);","b) ListView listView = (ListView) findViewById(R.id.listview);
setAdapter(adapter);","c) ListView listView = (ListView) findViewById(listview);
listView.setAdapter(adapter);",d)  B & C
299,What is the name of the base class for dialogs,Easy,1,Evaluation-Android,a) Dialog,a) Dialog,b)  FirstDialog,c)  DialogClass,d) None of them
300,"A dialog that can show a title, up to three buttons, a list of selectable items, or a custom layout.",Easy,1,Evaluation-Android,a) True,a) True,b) False,,
301,Which dialog class shows a dialog with a progress bar. ,Easy,1,Evaluation-Android,c) ProgressDialog,a) AlertDialog,b) DatePickerDialog,c) ProgressDialog,d) TimePickerDialog
302,Which is used in a layout if you want to  indicate loading progress,Easy,1,Evaluation-Android,b) ProgressBar,a) Progress & Activity ,b) ProgressBar,c) ProgressDialog,d) None of them
303,What are the functionalities of Dialog classes,Easy,1,Evaluation-Android,b) define the style and structure for a dialog,a) Assign a dialog,b) define the style and structure for a dialog,c)  define the style  for a dialog only,d)  define the structure for a dialog only
304,Which class provides all controls required to create a dialog,Easy,1,Evaluation-Android,d) DialogFragment,a) ManageDialog,b) ControllDialog,c) Dialog,d) DialogFragment
305,Which  class  allows you to reuse a dialog's UI as an embeddable component in a larger UI,Easy,1,Evaluation-Android,d) DialogFragment,a) ManageDialog,b) ControllDialog,c) Dialog,d) DialogFragment
306,How to create an AlertDialog,Hard,1,Evaluation-Android,a)  AlertDialog.Builder builder = new AlertDialog.Builder(getActivity());,a)  AlertDialog.Builder builder = new AlertDialog.Builder(getActivity());,b)   AlertDialog= new AlertDialog.Builder(getActivity());,c)   AlertDialog.Builder builder = new Builder(getActivity());,d)   AlertDialog.Builder builder = new AlertDialog(getActivity());
307,How to create an  AlertDialog object ,Hard,1,Evaluation-Android,b) builder.create();,a) make.create();,b) builder.create();,c)  builder.ready();,d) All of them
308,How to return an  AlertDialog object ,Hard,1,Evaluation-Android,b) return builder.create();,a) return AlertDialog;,b) return builder.create();,c)  return maker.create();,d) None of them
309,How to show a dialog in a figure,Hard,1,Evaluation-Android,a) call by show() function,a) call by show() function,b)  call by display() function,c)  call by showing() function,d) None of them
310,Which Class provides APIs that allow you to create an AlertDialog,Hard,1,Evaluation-Android,a) AlertDialog.Builder,a) AlertDialog.Builder,b) ProgressDialog,c) ProgressDialog.Builder,d)  AlertDialog.Maker
311,How to Instantiate an AlertDialog.Builder with its constructor,Hard,1,Evaluation-Android,c) AlertDialog.Builder builder = new AlertDialog.Builder(getActivity());,a) AlertDialog.Builder builder = AlertDialog.Builder(getActivity());,b)  AlertDialog = new AlertDialog.Builder(getActivity());,c) AlertDialog.Builder builder = new AlertDialog.Builder(getActivity());,d)  AlertDialog.Builder builder = new AlertDialog.Builder;
312,How to  Get a AlertDialog from create(),Hard,1,Evaluation-Android,c) AlertDialog dialog = builder.create();,a) AlertDialog = builder.create();,b)  AlertDialog dialog = builder();,c) AlertDialog dialog = builder.create();,d)  AlertDialog dialog = create();
313,When onListItemClick method will be called,Hard,1,Evaluation-Android,d) when an item in the list is selected,a) None of them,b) when an item in the list is disselected,c)  when an item to be deleted from a list,d) when an item in the list is selected
314,How to declare onListItemClick method,Expert,1,Evaluation-Android,"d) protected void onListItemClick (ListView l, 
                View v, 
                int position, 
                long id)
","a) protected void onListItemClick (ListView l, 
                int position, 
                long id)
","b) protected void onListItemClick (
                View v, 
                int position, 
                long id )
","c)  protected void onListItemClick (ListView l, 
                View v, 
              )
","d) protected void onListItemClick (ListView l, 
                View v, 
                int position, 
                long id)
"
315,What is the general structure of switch in android,Expert,1,Evaluation-Android,"a) switch(index){
    case 0:
        //Do this and this        break;
    case 1:
        //Do this and this        break;
    case 2:
        //Do this and this:        break;
    default: //For all other cases, do this        break;
}","a) switch(index){
    case 0:
        //Do this and this        break;
    case 1:
        //Do this and this        break;
    case 2:
        //Do this and this:        break;
    default: //For all other cases, do this        break;
}","b) switchForAndroid(index){
    case 0:
        //Do this and this        break;
    case 1:
        //Do this and this        break;
    case 2:
        //Do this and this:        break;
    default: //For all other cases, do this        break;
}","c) switch(index){
    Androidcase 0:
        //Do this and this        break;
    Androidcase 1:
        //Do this and this        break;
    Androidcase 2:
        //Do this and this:        break;
    default: //For all other cases, do this        break;
}",d) None of them
316,What is An Intent in android,Easy,1,Evaluation-Android,b) a messaging object,a) a view object,b) a messaging object,A and B,d) None of them
317,What is An Activity,Medium,1,Evaluation-Android,b) An Activity represents a single screen in an app,a) An Activity represents a multiple screens in an app,b) An Activity represents a single screen in an app,c)  An Activity represents exactly two  screens in an app,d) All of them
318,Whan is A Service,Medium,1,Evaluation-Android,a) A Service is a component that performs operations in the background without a user interface.,a) A Service is a component that performs operations in the background without a user interface.,b) A Service is a component that performs operations in the background with a user interface.,c)  A Service is a component that performs operations in the foreground without a user interface.,d) A Service is a component that performs operations in the foreground with a user interface.
319,How many types of Intent  are,Easy,1,Evaluation-Android,d) 2,3,4,c) 5,d) 2
320,Which of the followings are intent type,Medium,1,Evaluation-Android,a) A and C,a) Explicit intents,b) Modern intents,c) Implicit intents ,d) Call intents 
321,"What is the name of the activity allows itself to be started by a web browser to display data referenced by a link, such as an image or an e-mail message.",Medium,1,Evaluation-Android,a) CATEGORY_BROWSABLE,a) CATEGORY_BROWSABLE,b) CATEGORY_LAUNCHER,c) CATEGORY_BROWSE,d) All of them
322,What if Flags in Intent,Hard,1,Evaluation-Android,b) Metadat for an intent,a) Metadat for an intent,b) Metadat for an Bundle,c) All of them,d) one of them
323,Which of the following is an activity declaration with an intent filter to receive an ACTION_SEND intent when the data type is text,Expert,1,Evaluation-Android,"b) <activity android:name=""ShareActivity"">
    <intent-filter>
        <action android:name=""android.intent.action.SEND""/>
        <category android:name=""android.intent.category.DEFAULT""/>
        <data android:mimeType=""text/plain""/>
    </intent-filter>
</activity>","a) <activity>
    <intent-filter>
        <action android:name=""android.intent.action.SEND""/>
        <category android:name=""android.intent.category.DEFAULT""/>
        <data android:mimeType=""text/plain""/>
    </intent-filter>
</activity>","b) <activity android:name=""ShareActivity"">
    <intent-filter>
        <action android:name=""android.intent.action.SEND""/>
        <category android:name=""android.intent.category.DEFAULT""/>
        <data android:mimeType=""text/plain""/>
    </intent-filter>
</activity>","c) <activity android:name=""ShareActivity"">
    
        <action android:name=""android.intent.action.SEND""/>
        <category android:name=""android.intent.category.DEFAULT""/>
        <data android:mimeType=""text/plain""/>
    
</activity>","d) <activity android:name=""ShareActivity"">
    <intent-filter/>
        <action android:name=""android.intent.action.SEND""/>
        <category android:name=""android.intent.category.DEFAULT""/>
        <data android:mimeType=""text/plain""/>
    <//intent-filter>
</activity>"
324,What is the function of ACTION_MAIN,Medium,1,Evaluation-Android,a) to indicates main entry point and does not expect any intent data,a) to indicates main entry point and does not expect any intent data,b)  to indicates main entry point and  expects any intent data,c)  to indicates any entry point and  expects any intent data,d)  to indicates any entry point and does not expect any intent data
325,How to create a Intent launching the Browser From Your Android Applications,Medium,1,Evaluation-Android,"b) Intent launchBrowser = new Intent(Intent.ACTION_VIEW, uriUrl); ","a) Intent launchBrowser = Intent(Intent.ACTION_VIEW, uriUrl); ","b) Intent launchBrowser = new Intent(Intent.ACTION_VIEW, uriUrl); ","c)  Intent  = new Intent(Intent.ACTION_VIEW, uriUrl); ",d) All of them
326,Which of the following is done to enable Web Searches,Medium,1,Evaluation-Android,b) Intent search = new Intent(Intent.ACTION_WEB_SEARCH); ,a) Intent search = Intent(Intent.ACTION_WEB_SEARCH); ,b) Intent search = new Intent(Intent.ACTION_WEB_SEARCH); ,c)  search = new Intent(Intent.ACTION_WEB_SEARCH); ,d) None of them
327,What is the function of Layout,Easy,1,Evaluation-Android,a) to defines the structure for a user interface in your app,a) to defines the structure for a user interface in your app,b)  to defines the structure for an intent in your app,c)  to defines the structure for a storyboard in your app,d) None of them
328,Which objects are responsible to build all elements in a layout,Easy,1,Evaluation-Android,a) View and ViewGroup,a) View and ViewGroup,b)  View and Scene,c) View and Intent,d) ViewGroup and scene
329,a ViewGroup is,Easy,1,Evaluation-Android,c) an invisible container,a visible container,b) All of them,c) an invisible container,d) None of them
330,"The syntax for an ID, inside an XML tag is:",Medium,1,Evaluation-Android,"b) android:id=""@+id/my_button""","a) android:id=""+id/my_button""","b) android:id=""@+id/my_button""","c)  android:id=""id/my_button""",d) All of them
331,What is the name of the APIs used to play audio and video files,Medium,1,Evaluation-Android,d) MediaPlayer APIs,a) CDPLayer APIs,b)  Player APIs,c)  AudioVideo APIs,d) MediaPlayer APIs
332,What is retrofit android ?,Easy,1,Evaluation-Android,a) type safe REST Client,a) type safe REST Client,b) Type safe client,c)Client,d) Session
333,What is the aim of Retrofit?,Easy,1,Evaluation-Android,b) consume restful services,a) consume all services,b) consume restful services,c) consume web services,d) none
334,What is by default being leaveraged by Retrofit 2?,Medium,1,Evaluation-Android,c) OKHttp,a) Http,b) Https,c) OkHttp,d) SMTP
335,"In which, OkHttp works as a networking layer?",Hard,1,Evaluation-Android,d)Retrofit 2,a)RetroFit,b)Retro,c)Retrofit 1,d)Retrofit 2
336,What is Volley?,Medium,,Evaluation-Android,a.Http Library   ,a.Http Library   , b.Https Library  ,c.SMTP library,d.retrofit library
337,What is the advantage of volley in android?,Medium,,Evaluation-Android,b. Networking,a.Graphics,b. Networking,c. File Transfer,d. Image
338,Which service isn't offered by Volley?,Hard,,Evaluation-Android,d. Auto Ordering,a.Auto Scheduling     ,b.Multiple Connections,c.Debugging & tracing  ,d. Auto Ordering
339,Which service is offered by Volley?,Expert,,Evaluation-Android,c.Debugging & tracing  ,a.Transparent Scheduling     ,b.Multiple Cancellation,c.Debugging & tracing  ,d. Auto Ordering
340,UI is populated by Volley using __ fill the gap,Medium,,Evaluation-Android,a.RPC type operations,a.RPC type operations,b.PPC type operations,c.API type operations,d.both a & b
341,How a page of search is fetched by Volley?,Hard,,Evaluation-Android,c.Structured Data,a.Structured array,b.String data,c.Structured Data,d.none
342,Which uses HTTP as an underlying protocol?,Medium,,Evaluation-Android,c.World Wide Web,a.World Wide Wan    ,b.World Wide Wap,c.World Wide Web,d.Email
343,Which are methods of HTTP ?,Easy,,Evaluation-Android,b.POST & GET,a.POST & RETURN,b.POST & GET,c.GET & RETURN,d.RETURN    
344,Which method of HTTP requests data?,Easy,,Evaluation-Android,b.GET,a.POST,b.GET,c.RETURN,d.None
345,Which method of HTTP submits data?,Easy,,Evaluation-Android,a.POST,a.POST,b.GET,c.RETURN,d.None
346,Which method of HttpURLConnection obtain a new HttpURLConnection?,Hard,,Evaluation-Android,b.URL.openConnection,a.POST,b.URL.openConnection,c.URL.connection,d.GET
347,What are included in URI. Request headers metaData?,Medium,,Evaluation-Android,d.all of three,a.credentials,b.preferred content type,c.session cookies,d.all of three
348,"With which, instances of URLConnection class must be initialized if they contain a request body ?",Medium,,Evaluation-Android,a.setDoOutput(true),a.setDoOutput(true),b.setDoInput(true),c.setOutput(true),d.setInput(true)
349,Which method returns the stream which is used by URLConnection class for output ?,Hard,,Evaluation-Android,c.getOutputStream,a.getOutput,b.getInputStream,c.getOutputStream,d.getInput
350,Which isn't imcluded in response headers metadata?,Hard,,Evaluation-Android,d. Response Body History,a.Response Body Content,b.Response Body Type,c.response body Length,d. Response Body History
351,Which are included in response headers metadata?,Medium,,Evaluation-Android,d. all of three,a.Response Body Content,b.Response Body Type,c.response body Length,d. all of three
352,What is returned by getInputStream if response has no body?,Medium,,Evaluation-Android,b.empty stream,a. ouput Stream,b.empty stream,c.input stream,d.null
353,Which method closes the HTTPURLConnection?,Medium,,Evaluation-Android,c.disconnect,a.disclose,b.close,c.disconnect,d.disrupt
354,How many redirects HttpURLConnection will follow up to?,Hard,,Evaluation-Android,a.5,a.5,b.6,c.3,d.4
355,Which method configures the connection for uploading data to a web server ?,Medium,,Evaluation-Android,d.setDoOutput,a.setOutput,b.setUpload,c.setDoUpload,d.setDoOutput
356,"When body length of data is known, which method should be called when uploading data?",Medium,,Evaluation-Android,c.setFixedLengthStreamingMode,a.setFixedLengthMode,b.setFixedStreamingMode,c.setFixedLengthStreamingMode,d.setFixedMode
357,"When body length of data is not known, which method should be called when uploading data?",Medium,,Evaluation-Android,c.setChunkedStreamingMode,a.setChunkedLengthMode,b.setStreamingMode,c.setChunkedStreamingMode,d.setChunkedMode
358,InputStream and OutputStream returned by HttpURLConnnection class are  __? Fill the gap,Easy,,Evaluation-Android,c.unbuffered,a.buffered,b.serialized,c.unbuffered,d.unserialized
359,What HttpURLConnection class should do for reducing latency?,Medium,,Evaluation-Android,c.borh a & b,a.use same socket for maultiple request,b.use same socket for multiple response,c.borh a & b,d.none
360,HTTP connections may be held __ longer than necessary. Fill the gap,Easy,,Evaluation-Android,b.open,a.closed,b.open,c.partially open,d.ppartially closed
361,What the disconnect method of HTTP connection might return?,Easy,,Evaluation-Android,a.socket,a.socket,b.JSON array,c.Unicode Character array,d.NSMUtableString
362,What type of compression is requested by the HttpURLConnection to the servers?,Medium,,Evaluation-Android,d.gzip,a.gasip,b.zip,c.rar,d.gzip
363,Which method of HttpURLConnection is used for data decompression?,Medium,,Evaluation-Android,a.getInputStream,a.getInputStream,b.getOutputStream,c.getInput,d.None
364,How Gzip compression can be disabled?,Medium,,Evaluation-Android,a.acceptable encodings in header,a.acceptable encodings in header,b.acceptable stream,c.special encodings at header,d.none
365,What getInputStream returns when the string is exhausted?,Hard,,Evaluation-Android,b.-1,a.0,b.-1,c.3,d.1
366,Which method returns the number of bytes transferred?,Medium,,Evaluation-Android,b.UIImage,a.getLength,b.length,c.contentLength,d.getContentLength
367,Which method tests connection redirection?,Medium,,Evaluation-Android,a.getURL,a.getURL,b.getHttp,cURI,d.getURI
368,Which method triggers the receiving of response headers?,Hard,,Evaluation-Android,c.both a & b,a.getHeaderFields,b.getInputStream,c.both a & b,d.none
369,Which class includes all extensible cookie manager ?,Expert,,Evaluation-Android,b.HttpURLConnection,a.HttpURL,b.HttpURLConnection,c.HttpHeader,d.none
370,Where the default cookie manager keeps all the  accepted cookies?,Medium,,Evaluation-Android,d.memory,a.server,b.file,c.cache,d.memory
371,What the cookies must have set to be included in headers?,Medium,,Evaluation-Android,d.both a & b,a.domain properties,b.path properties,c.server properties,d.both a & b
372,What is the cookie version should be set for compatibility with most servers?,Medium,,Evaluation-Android,b.0,a.11,b.0,c.1,d.-1
373,Which method is used by HttpURLConnection by default?,Medium,,Evaluation-Android,a.GET,a.GET,b.POST,c.RETURN,d.None
374,Which method causes the HttpURLConnection to use POST method ?,Hard,,Evaluation-Android,c.setDoOutput,a.setDO,b.setOutput,c.setDoOutput,d.set
375,Which method is used to use a proxy?,Medium,,Evaluation-Android,a.URL.openConnection(Proxy),a.URL.openConnection(Proxy),b.URL.Connection(Proxy),c.URL.open(Proxy),d.URL.(Proxy)
376,Which version of android includes a response cache?,Medium,,Evaluation-Android,c.Android 4,a.Android 1,b.Android 2,c.Android 4,d.Android 3.2
377,"With what type of servers, new instances of cookies work?",Hard,,Evaluation-Android,a.that support RFC 2965 cookies,a.that support RFC 2965 cookies,b.that support RFC 2695 cookies,c.that support RFC 2665 cookies,d.both a &b
378,What should be Implemented to define a custom cookie store?,Hard,,Evaluation-Android,d.CookieStore,a.store,b.cookieServer,c.cookieDepot,d.CookieStore
379,Which one is a HTTP method?,Medium,,Evaluation-Android,d.all of three,a.GET,b.DELETE,c.TRACE,d.all of three
380,Which one is not a HTTP method?,Medium,,Evaluation-Android,d.TAIL,a.HEAD,b.DELETE,c.TRACE,d.TAIL
381,In array handling of JSON streams which method should be called first?,Hard,,Evaluation-Android,a.beginArray,a.beginArray,b.startArray,c.readArray,d.array
382,In array handling of JSON streams which method should be called to read the closing bracket?,Hard,,Evaluation-Android,a.endArray().,a.endArray().,b.finishArray().,c.end().,d.Array
383,In object handling of JSON streams which method should be called first?,Hard,,Evaluation-Android,c.beginObject,a.begin,b.startObject,c.beginObject,d.object
384,In object handling of JSON streams which method should be called to read the closing bracket?,Hard,,Evaluation-Android,d.endObject(),a.end().,b.finishObject.,c.endObj().,d.endObject()
385,Which method is common in both array handling and object handling of JSON streams? ,Medium,,Evaluation-Android,d.hasNext,a.beginArray,b.beginObject,c.endObject,d.hasNext
386,"When an unknown name is encountered, what strict parsers should do?",Hard,,Evaluation-Android,b.Fail,a.Continue,b.Fail,c.Pass,d.None
387,Which method checks if a value is null?,Easy,,Evaluation-Android,a.peek,a.peek,b.nullFinder,c.read,d.hasNext
388,Which method consumes null literals?,Easy,,Evaluation-Android,c.nextNull,a.nextPeek,b.peek,c.nextNull,d.none
389,Which method sorks alike nextNull?,Medium,,Evaluation-Android,b.skipValue,a.getNull,b.skipValue,c.nextValue,d. getNext
390,How JSON reader reads numeric values?,Expert,,Evaluation-Android,c.both a & b,a.usual way,b.as string,c.both a & b,d. as structure
391,"In which way , JSON reader permits to read string values?",Expert,,Evaluation-Android,a.as numbers,a.as numbers,b.as array,c.as structure,d.none
392,Which method works to read next element from JSON array?,Hard,,Evaluation-Android,c.both a & b,a.nextInt,b.nextString,c.both a & b,d.none
393,"To minimize loss, how large numeric values should be written in JSON?",Medium,,Evaluation-Android,a. as string,a. as string,b.as array,c.as it is,d.none
